Occurrences	Code
2590	NPU19821
2556	NPU28151
2546	NPU28154
2535	NPU27754
2524	NPU19964
2510	NPU18154
2509	NPU09006
2507	NPU11069
2502	NPU04029
2500	NPU02096
2496	NPU26847
2486	NPU56962
2463	NPU28368
2460	NPU27959
2455	NPU04843
2449	NPU27740
2444	NPU12232
2444	NPU12231
2439	NPU03947
2429	NPU17876
2428	NPU10160
2416	NPU29638
2414	NPU27963
2405	NPU58011
2402	NPU57692
2402	NPU14338
2400	NPU10005
2390	NPU19597
2388	NPU19931
2381	NPU08005
2381	NPU08004
2378	NPU10155
2375	NPU21669
2375	NPU21665
2374	NPU57663
2374	NPU57662
2374	NPU57661
2374	NPU26738
2374	NPU21666
2374	NPU21657
2374	NPU19830
2373	NPU21671
2373	NPU21670
2373	NPU21667
2373	NPU21662
2373	NPU21659
2373	NPU21656
2373	NPU21652
2373	NPU21651
2372	NPU57711
2372	NPU21668
2372	NPU21654
2372	NPU21653
2371	NPU57660
2371	NPU21664
2366	NPU27137
2365	NPU28853
2363	NPU21660
2362	NPU21658
2361	NPU57712
2361	NPU21663
2357	NPU58997
2349	NPU26655
2345	NPU10340
2344	NPU09243
2343	NPU09242
2341	NPU10342
2340	NPU10341
2337	NPU09241
2333	NPU09244
2324	NPU10343
2322	NPU54359
2322	NPU03948
2316	NPU10952
2316	NPU04174
2312	NPU59964
2298	NPU59963
2298	NPU57589
2293	NPU28452
2293	NPU28451
2291	NPU56419
2287	NPU28682
2282	NPU56115
2282	NPU28450
2268	NPU27129
2265	NPU08626
2251	NPU02151
2245	NPU28898
2245	NPU13247
2243	NPU27703
2241	NPU026678
2240	NPU21548
2216	NPU54023
2206	NPU54053
2204	NPU08602
2198	NPU04128
2190	NPU21781
2189	NPU28800
2188	NPU13413
2171	NPU16135
2170	NPU10615
2168	NPU28320
2168	NPU21529
2163	NPU26907
2162	NPU02205
2156	NPU01737
2154	NPU10847
2144	NPU59612
2135	NPU18019
2134	NPU12557
2128	NPU27395
2124	NPU13421
2121	NPU19946
2105	NPU10574
2101	NPU19903
2101	NPU16227
2099	NPU53205
2096	NPU01011
2095	NPU28839
2086	NPU19845
2085	NPU08923
2083	NPU19919
2082	NPU10850
2079	NPU08985
2067	NPU59148
2055	NPU53664
2052	NPU10809
2051	NPU27624
2047	NPU28143
2045	NPU17101
2041	NPU26735
2035	NPU54781
2002	NPU01732
1988	NPU57494
1988	NPU28148
1987	NPU28021
1966	NPU26768
1964	NPU26769
1963	NPU28816
1963	NPU27270
1962	NPU26770
1962	NPU04868
1961	NPU54281
1960	NPU54282
1959	NPU26766
1956	NPU26767
1945	NPU58417
1945	NPU58397
1930	NPU27381
1930	NPU27380
1930	NPU27379
1928	NPU03687
1918	NPU54177
1918	NPU18750
1906	NPU27786
1900	NPU01481
1896	NPU18682
1889	NPU28486
1889	NPU03049
1880	NPU04571
1863	NPU27989
1859	NPU28138
1859	NPU26797
1859	NPU18190
1858	NPU26798
1856	NPU18284
1841	NPU08997
1831	NPU28551
1822	NPU14046
1820	NPU19902
1815	NPU26640
1810	NPU54287
1801	NPU29639
1790	NPU19603
1788	NPU17097
1778	NPU16125
1774	NPU01616
1770	NPU12323
1767	NPU20191
1756	NPU27742
1756	NPU27707
1756	NPU19945
1750	NPU27727
1750	NPU04615
1749	NPU08038
1745	NPU54295
1744	NPU12324
1743	NPU13342
1739	NPU14359
1735	NPU18109
1734	NPU29509
1730	NPU20076
1715	NPU27737
1713	NPU10505
1713	NPU04175
1705	NPU57507
1690	NPU27696
1690	NPU18105
1688	NPU58337
1688	NPU57636
1687	NPU10510
1680	NPU14067
1678	NPU11048
1668	NPU12719
1665	NPU29991
1660	NPU28854
1645	NPU26849
1643	NPU19791
1640	NPU12718
1630	NPU04972
1629	NPU03929
1627	NPU19634
1621	NPU03952
1606	NPU17043
1595	NPU14108
1584	NPU18405
1581	NPU18745
1571	NPU04127
1569	NPU54790
1567	NPU20138
1563	NPU29686
1563	NPU28964
1563	NPU28562
1561	NPU14171
1560	NPU19697
1549	NPU18155
1537	NPU04827
1531	NPU17473
1527	NPU27418
1519	NPU11222
1517	NPU18100
1516	NPU27430
1512	NPU29987
1508	NPU13049
1506	NPU17099
1504	NPU03303
1501	NPU57004
1500	NPU09343
1497	NPU18915
1493	NPU26760
