SourceCode;SourceName;Valid from;Valid to;Country
793;Aalestrup;;31-12-2006;41930999
801;Arden;;31-12-2006;41930999
803;Brovst;;31-12-2006;41930999
805;Brønderslev;;31-12-2006;41930999
807;Dronninglund;;31-12-2006;41930999
809;Farsø;;31-12-2006;41930999
810;Brønderslev;01-01-2007;;41930999
811;Fjerritslev;;31-12-2006;41930999
813;Frederikshavn;;;41930999
815;Hadsund;;31-12-2006;41930999
817;Hals;;31-12-2006;41930999
819;Hirtshals;;31-12-2006;41930999
820;Vesthimmerlands;01-01-2007;;41930999
821;Hjørring;;31-12-2006;41930999
823;Hobro;;31-12-2006;41930999
825;Læsø;;;41930999
827;Løgstør;;31-12-2006;41930999
829;Løkken-Vrå;;31-12-2006;41930999
831;Nibe;;31-12-2006;41930999
833;Nørager;;31-12-2006;41930999
835;Pandrup;;31-12-2006;41930999
837;Sejlflod;;31-12-2006;41930999
839;Sindal;;31-12-2006;41930999
840;Rebild;01-01-2007;;41930999
841;Skagen;;31-12-2006;41930999
843;Skørping;;31-12-2006;41930999
845;Støvring;;31-12-2006;41930999
846;Mariagerfjord;01-01-2007;;41930999
847;Sæby;;31-12-2006;41930999
849;Åbybro;;31-12-2006;41930999
849;Jammerbugt;01-01-2007;;41930999
851;Ålborg;;31-12-2006;41930999
851;Aalborg;01-01-2007;;41930999
860;Hjørring;01-01-2007;;41930999
861;Aars;;31-12-2006;41930999
901;Christianshåb;;;41930999
903;Egedesminde;;;41930999
905;Frederikshåb;;;41930999
907;Godhavn;;;41930999
909;Godthåb;;;41930999
911;Holsteinsborg;;;41930999
913;Ivigtut;;;41930999
915;Jakobshavn;;;41930999
917;Julianehåb;;;41930999
919;Kangatsiaq;;;41930999
921;Nanortalik;;;41930999
923;Narssaq;;;41930999
925;Sukkertoppen;;;41930999
927;Umanak;;;41930999
929;Upernavik;;;41930999
941;Thule;;;41930999
951;Angmagssalik;;;41930999
953;Scoresbysund;;;41930999
961;Udenfor kommunal inddeling;;;41930999
999;Uoplyst kommune;;;41930999
19;Administrativ (Sygehusene);;;41930999
751;Aarhus;01-01-2011;;41930999
